park_name,month,year
Olympic,Oct,2022
Zion,May,2023
Bryce Canyon,May,2023
Capitol Reef,May,2023
Arches,May,2023
Canyonlands,May,2023
Grand Canyon,May,2023
Shenandoah,June,2023
Yellowstone,September,2023
Grand Teton,September,2023
New River Gorge,May,2024
Rocky Mountain,June,2024
Black Canyon of the Gunnison,June,2024
Mesa Verde,June,2024
Great Sand Dunes,June,2024
Badlands,August,2024
Theodore Roosevelt,August,2024
Wind Cave,August,2024
Acadia,Oct,2024
Joshua Tree,Nov,2024
Death Valley,Nov,2024
Big Bend,Jan,2025
Guadalupe Mountains,Jan,2025
Carlsbad Caverns,Jan,2025
White Sands,Jan,2025
Everglades,Mar,2025
Biscayne,Mar,2025
Redwoods,May,2025
Pinnacles,June,2025
Sequoia,June,2025
King's Canyon,June,2025
Yosemite,July,2025
Crater Lake,August,2025
Lassen Volcanic,September,2025
Saguaro,Dec,2025
Petrified Forest,Dec,2025
